"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","audio_data","has_mic"
55290.1600000914,"{""n_trials"":""100"",""buffer_length"":""1000"",""browser"":""Chrome"",""device_os"":""Windows 10 laptop"",""intended_rt"":""0""}","survey-text",0,55317,"0.0-0.0",NA,NA,NA,NA
1407.86999999546,NA,"html-button-response",1,56737,"0.0-1.0","<p>Now you will be able to record a test sound<br>and then play it back to check that the audio has been captured clearly.</p><p>After you press the ""Start the recording check"" button,<br>you will be need to approve the browser&#39;s request to use the mic.</p><p>Then the browser will record audio for 2 seconds.</p><p>You will then see an audio player and you will be able to play back your recording.</p><p>You can re-record as many times as necessary to ensure that,<br>during the test, the audio will be captured clearly.</p>","0",NA,NA
8308.82999999449,NA,"html-button-response",3,68466,"0.0-3.0","<p>Press the ""Start"" button to start the audio recording test.</p>","0",NA,NA
1122.05000012182,NA,"image-audio-response",4,70858,"0.0-4.0-0.0","img/test_image_white.png",NA,"11_0.webm",TRUE
1076.6050000675,NA,"image-audio-response",5,72676,"0.0-4.1-0.1","img/test_image_white.png",NA,"11_1.webm",TRUE
1070.90499997139,NA,"image-audio-response",6,74902,"0.0-4.2-0.2","img/test_image_white.png",NA,"11_2.webm",TRUE
1273.04999995977,NA,"image-audio-response",7,77276,"0.0-4.3-0.3","img/test_image_white.png",NA,"11_3.webm",TRUE
1131.16500014439,NA,"image-audio-response",8,79547,"0.0-4.4-0.4","img/test_image_white.png",NA,"11_4.webm",TRUE
1081.10000006855,NA,"image-audio-response",9,81396,"0.0-4.5-0.5","img/test_image_white.png",NA,"11_5.webm",TRUE
1090.59500019066,NA,"image-audio-response",10,83329,"0.0-4.6-0.6","img/test_image_white.png",NA,"11_6.webm",TRUE
1048.35000005551,NA,"image-audio-response",11,84920,"0.0-4.7-0.7","img/test_image_white.png",NA,"11_7.webm",TRUE
1029.0349998977,NA,"image-audio-response",12,86474,"0.0-4.8-0.8","img/test_image_white.png",NA,"11_8.webm",TRUE
1119.18499995954,NA,"image-audio-response",13,88443,"0.0-4.9-0.9","img/test_image_white.png",NA,"11_9.webm",TRUE
1266.91999984905,NA,"image-audio-response",14,90791,"0.0-4.10-0.10","img/test_image_white.png",NA,"11_10.webm",TRUE
1076.77000015974,NA,"image-audio-response",15,92476,"0.0-4.11-0.11","img/test_image_white.png",NA,"11_11.webm",TRUE
1038.80500001833,NA,"image-audio-response",16,94341,"0.0-4.12-0.12","img/test_image_white.png",NA,"11_12.webm",TRUE
1032.6149999164,NA,"image-audio-response",17,96401,"0.0-4.13-0.13","img/test_image_white.png",NA,"11_13.webm",TRUE
1074.84999997541,NA,"image-audio-response",18,98146,"0.0-4.14-0.14","img/test_image_white.png",NA,"11_14.webm",TRUE
1046.65499995463,NA,"image-audio-response",19,99818,"0.0-4.15-0.15","img/test_image_white.png",NA,"11_15.webm",TRUE
1080.80499991775,NA,"image-audio-response",20,101550,"0.0-4.16-0.16","img/test_image_white.png",NA,"11_16.webm",TRUE
1202.55500008352,NA,"image-audio-response",21,104062,"0.0-4.17-0.17","img/test_image_white.png",NA,"11_17.webm",TRUE
1049.83000014909,NA,"image-audio-response",22,105646,"0.0-4.18-0.18","img/test_image_white.png",NA,"11_18.webm",TRUE
1066.83000014164,NA,"image-audio-response",23,107266,"0.0-4.19-0.19","img/test_image_white.png",NA,"11_19.webm",TRUE
1087.55999989808,NA,"image-audio-response",24,109252,"0.0-4.20-0.20","img/test_image_white.png",NA,"11_20.webm",TRUE
1027.68000005744,NA,"image-audio-response",25,111007,"0.0-4.21-0.21","img/test_image_white.png",NA,"11_21.webm",TRUE
1043.20499999449,NA,"image-audio-response",26,112979,"0.0-4.22-0.22","img/test_image_white.png",NA,"11_22.webm",TRUE
1052.0049999468,NA,"image-audio-response",27,114773,"0.0-4.23-0.23","img/test_image_white.png",NA,"11_23.webm",TRUE
1058.2000000868,NA,"image-audio-response",28,116694,"0.0-4.24-0.24","img/test_image_white.png",NA,"11_24.webm",TRUE
1067.44499993511,NA,"image-audio-response",29,118709,"0.0-4.25-0.25","img/test_image_white.png",NA,"11_25.webm",TRUE
1040.78999999911,NA,"image-audio-response",30,120783,"0.0-4.26-0.26","img/test_image_white.png",NA,"11_26.webm",TRUE
1046.18999990635,NA,"image-audio-response",31,122862,"0.0-4.27-0.27","img/test_image_white.png",NA,"11_27.webm",TRUE
1088.39000016451,NA,"image-audio-response",32,125000,"0.0-4.28-0.28","img/test_image_white.png",NA,"11_28.webm",TRUE
1061.47000007331,NA,"image-audio-response",33,126606,"0.0-4.29-0.29","img/test_image_white.png",NA,"11_29.webm",TRUE
1037.34000003897,NA,"image-audio-response",34,128173,"0.0-4.30-0.30","img/test_image_white.png",NA,"11_30.webm",TRUE
1049.39999990165,NA,"image-audio-response",35,129967,"0.0-4.31-0.31","img/test_image_white.png",NA,"11_31.webm",TRUE
1070.25500014424,NA,"image-audio-response",36,131888,"0.0-4.32-0.32","img/test_image_white.png",NA,"11_32.webm",TRUE
1066.21999992058,NA,"image-audio-response",37,133693,"0.0-4.33-0.33","img/test_image_white.png",NA,"11_33.webm",TRUE
1069.68499999493,NA,"image-audio-response",38,135314,"0.0-4.34-0.34","img/test_image_white.png",NA,"11_34.webm",TRUE
1072.82499992289,NA,"image-audio-response",39,137461,"0.0-4.35-0.35","img/test_image_white.png",NA,"11_35.webm",TRUE
1145.86999989115,NA,"image-audio-response",40,139577,"0.0-4.36-0.36","img/test_image_white.png",NA,"11_36.webm",TRUE
1033.29499997199,NA,"image-audio-response",41,141137,"0.0-4.37-0.37","img/test_image_white.png",NA,"11_37.webm",TRUE
